Timestamp,Email for Follow-up,Specialization,Health App Value,Improved With App,Challenges Faced,Satisfy Features,Patient Improve with App,Concerns with App
2024-04-01 00:28:00,jamesnewton@gilbert.com,Public_Health,2,No,Financial aid,Other,No,Data Accuracy & Reliability
2024-04-01 00:29:00,edwardsdaniel@yahoo.com,General_Practitioner,4,N/A,Access to medication,Appointment Scheduling & Reminders,Yes,Data Accuracy & Reliability
2024-04-01 00:30:00,katherine14@hotmail.com,Public_Health,4,No,Access to medication,Symptom Tracker,Yes,Dependence on Technology
2024-04-01 00:31:00,lindacervantes@barry.com,ENDOCRINE,2,Yes,Financial aid,Integration with Wearable Devices,Yes,False Alarms & Alert Fatigue
2024-04-01 00:32:00,rhonda38@raymond.com,Public_Health,4,No,Financial aid,Emergency Assistance,Yes,N/A
2024-04-01 00:33:00,virginia47@yahoo.com,OBGYN,1,No,Lack of support,Medication Management,No,Data Accuracy & Reliability
2024-04-01 00:34:00,sgarza@gmail.com,ENDOCRINE,3,No,N/A,Appointment Scheduling & Reminders,No,False Alarms & Alert Fatigue
2024-04-01 00:35:00,perezjennifer@hurley.net,Other,1,N/A,Lack of support,Health Data Tracking,Neutra,Dependence on Technology
2024-04-01 00:36:00,teresa10@edwards-fernandez.net,General_Practitioner,4,Yes,N/A,Appointment Scheduling & Reminders,No,N/A
2024-04-01 00:37:00,jennifer60@taylor.com,Public_Health,4,N/A,Financial aid,Other,Yes,N/A
2024-04-01 00:38:00,wilcoxkaren@gmail.com,Other,4,Yes,Lack of support,Pharmacy Integration,Neutra,Lack of Human Interaction
2024-04-01 00:39:00,tmiller@yahoo.com,OBGYN,2,N/A,Access to medication,Integration with Wearable Devices,No,Data Accuracy & Reliability
2024-04-01 00:40:00,nicolelawrence@hotmail.com,OBGYN,1,Prefer Not To Say,N/A,Pharmacy Integration,Neutra,Dependence on Technology
2024-04-01 00:41:00,fbutler@hotmail.com,ENDOCRINE,3,Yes,Financial aid,Medication Management,Neutra,False Alarms & Alert Fatigue
2024-04-01 00:42:00,jamesdavis@cook.com,ENDOCRINE,1,N/A,Lack of support,Symptom Tracker,No,N/A
2024-04-01 00:43:00,markbowman@jones-taylor.com,Other,3,No,Access to medication,Pharmacy Integration,Neutra,N/A
2024-04-01 00:44:00,david11@nichols.info,Other,4,Yes,N/A,Emergency Assistance,No,Data Accuracy & Reliability
2024-04-01 00:45:00,carolponce@gmail.com,ENDOCRINE,3,No,N/A,Medication Management,Yes,N/A
2024-04-01 00:46:00,chavezkatherine@barrett.com,Cardiology,2,N/A,N/A,Integration with Wearable Devices,Yes,Data Accuracy & Reliability
2024-04-01 00:47:00,jack76@clark.com,Public_Health,2,Prefer Not To Say,Financial aid,Health Data Tracking,No,Data Accuracy & Reliability
2024-04-01 00:48:00,davismatthew@hopkins-long.com,OBGYN,3,N/A,Lack of support,Symptom Tracker,No,Data Accuracy & Reliability
2024-04-01 00:49:00,dcarpenter@yahoo.com,Cardiology,1,Yes,Access to medication,Emergency Assistance,Yes,False Alarms & Alert Fatigue
2024-04-01 00:50:00,juan68@hotmail.com,OBGYN,1,No,Lack of support,Symptom Tracker,Yes,N/A
2024-04-01 00:51:00,ashley23@yahoo.com,General_Practitioner,1,Prefer Not To Say,Access to medication,Pharmacy Integration,No,Digital Divide & Accessibility
2024-04-01 00:52:00,ustark@gmail.com,Other,4,No,Access to medication,Pharmacy Integration,Yes,Digital Divide & Accessibility
2024-04-01 00:53:00,tmullins@yahoo.com,Other,4,Prefer Not To Say,Access to medication,Symptom Tracker,No,Digital Divide & Accessibility
2024-04-01 00:54:00,singhamanda@gmail.com,Public_Health,2,Yes,N/A,Integration with Wearable Devices,No,Lack of Human Interaction
2024-04-01 00:55:00,sclarke@villegas.biz,Other,1,Prefer Not To Say,Financial aid,Appointment Scheduling & Reminders,Yes,Data Accuracy & Reliability
2024-04-01 00:56:00,zcampos@williams.com,Public_Health,4,No,Access to medication,Symptom Tracker,Neutra,Dependence on Technology
2024-04-01 00:57:00,linda80@yahoo.com,Cardiology,3,Prefer Not To Say,Lack of support,Emergency Assistance,Neutra,Data Accuracy & Reliability
2024-04-01 00:58:00,grimessharon@yahoo.com,General_Practitioner,1,No,Access to medication,Integration with Wearable Devices,Neutra,N/A
2024-04-01 00:59:00,kristi38@guzman.biz,OBGYN,4,No,Lack of support,Pharmacy Integration,Neutra,False Alarms & Alert Fatigue
2024-04-01 01:00:00,emily63@andrews-gregory.com,Public_Health,3,Prefer Not To Say,N/A,Emergency Assistance,No,False Alarms & Alert Fatigue
2024-04-01 01:01:00,colton00@hotmail.com,Other,1,No,N/A,Pharmacy Integration,Yes,Lack of Human Interaction
2024-04-01 01:02:00,stephen56@gmail.com,Other,3,Yes,N/A,Other,Neutra,Dependence on Technology
2024-04-01 01:03:00,knightholly@white.com,General_Practitioner,2,Yes,Financial aid,Pharmacy Integration,Neutra,Digital Divide & Accessibility
2024-04-01 01:04:00,palmerdennis@costa-black.com,General_Practitioner,2,N/A,N/A,Pharmacy Integration,Yes,Digital Divide & Accessibility
2024-04-01 01:05:00,sheila58@gmail.com,Public_Health,3,N/A,Lack of support,Pharmacy Integration,Yes,N/A
2024-04-01 01:06:00,brookeparks@hotmail.com,ENDOCRINE,2,N/A,Access to medication,Medication Management,No,False Alarms & Alert Fatigue
2024-04-01 01:07:00,christopherschmidt@hotmail.com,General_Practitioner,2,Prefer Not To Say,N/A,Symptom Tracker,No,N/A
2024-04-01 01:08:00,nicholas34@hotmail.com,ENDOCRINE,1,Prefer Not To Say,Lack of support,Integration with Wearable Devices,Yes,Dependence on Technology
2024-04-01 01:09:00,kcross@yahoo.com,Public_Health,3,No,N/A,Emergency Assistance,Yes,Lack of Human Interaction
2024-04-01 01:10:00,onealrodney@castillo-barnes.org,Other,2,No,N/A,Medication Management,Yes,Dependence on Technology
2024-04-01 01:11:00,millerlance@gmail.com,Public_Health,2,No,Access to medication,Integration with Wearable Devices,Yes,Digital Divide & Accessibility
2024-04-01 01:12:00,lrobertson@armstrong-mooney.org,Public_Health,3,N/A,Lack of support,Emergency Assistance,Yes,Digital Divide & Accessibility
2024-04-01 01:13:00,lwilliams@underwood-hernandez.com,General_Practitioner,2,No,Access to medication,Health Data Tracking,Neutra,Dependence on Technology
2024-04-01 01:14:00,jennifer46@gmail.com,OBGYN,2,Prefer Not To Say,Lack of support,Health Data Tracking,Yes,N/A
2024-04-01 01:15:00,jacobyoung@hotmail.com,Public_Health,2,No,Lack of support,Medication Management,No,Data Accuracy & Reliability
2024-04-01 01:16:00,maydaniel@anderson-robinson.org,General_Practitioner,3,N/A,Lack of support,Other,Yes,Lack of Human Interaction
2024-04-01 01:17:00,maldonadodaniel@yahoo.com,Cardiology,2,No,Lack of support,Other,Yes,N/A
2024-04-01 01:18:00,kimberlymyers@carter-brooks.com,General_Practitioner,3,No,Financial aid,Appointment Scheduling & Reminders,Neutra,N/A
2024-04-01 01:19:00,zbaker@chandler.net,ENDOCRINE,4,Yes,Lack of support,Symptom Tracker,No,False Alarms & Alert Fatigue
2024-04-01 01:20:00,davidsilva@hotmail.com,OBGYN,4,Yes,Lack of support,Integration with Wearable Devices,Yes,Data Accuracy & Reliability
2024-04-01 01:21:00,rivaslee@ortiz.com,Cardiology,3,Yes,N/A,Integration with Wearable Devices,No,Dependence on Technology
2024-04-01 01:22:00,jose32@alexander-garcia.net,ENDOCRINE,1,N/A,Financial aid,Integration with Wearable Devices,Yes,Data Accuracy & Reliability
2024-04-01 01:23:00,robbinssabrina@gmail.com,ENDOCRINE,4,N/A,Access to medication,Symptom Tracker,No,Lack of Human Interaction
2024-04-01 01:24:00,cathykramer@moore-schultz.com,Other,2,No,N/A,Medication Management,Yes,N/A
2024-04-01 01:25:00,jonathan11@murillo-sutton.com,General_Practitioner,2,Prefer Not To Say,Lack of support,Symptom Tracker,No,N/A
2024-04-01 01:26:00,todd79@yahoo.com,General_Practitioner,1,N/A,Access to medication,Appointment Scheduling & Reminders,Neutra,Dependence on Technology
2024-04-01 01:27:00,ricerita@jackson.com,Public_Health,2,Prefer Not To Say,Access to medication,Health Data Tracking,Yes,Dependence on Technology
2024-04-01 01:28:00,gordonjeremy@allen.com,Cardiology,2,Yes,Financial aid,Integration with Wearable Devices,Neutra,Digital Divide & Accessibility
2024-04-01 01:29:00,robertdowns@yahoo.com,OBGYN,4,Prefer Not To Say,Financial aid,Appointment Scheduling & Reminders,Neutra,Dependence on Technology
2024-04-01 01:30:00,jacksonbrittany@moore-fry.com,Public_Health,3,Yes,Access to medication,Health Data Tracking,No,N/A
2024-04-01 01:31:00,lcastro@hotmail.com,General_Practitioner,3,No,N/A,Pharmacy Integration,No,Data Accuracy & Reliability
2024-04-01 01:32:00,harrisdeborah@white.com,ENDOCRINE,4,No,Access to medication,Integration with Wearable Devices,No,Data Accuracy & Reliability
2024-04-01 01:33:00,alexspencer@tucker.com,General_Practitioner,4,Prefer Not To Say,Financial aid,Emergency Assistance,No,False Alarms & Alert Fatigue
2024-04-01 01:34:00,ymartinez@hotmail.com,General_Practitioner,4,N/A,N/A,Appointment Scheduling & Reminders,Yes,False Alarms & Alert Fatigue
2024-04-01 01:35:00,ulyons@hotmail.com,Cardiology,4,No,Access to medication,Symptom Tracker,No,Dependence on Technology
2024-04-01 01:36:00,youngdavid@yahoo.com,General_Practitioner,2,N/A,N/A,Appointment Scheduling & Reminders,Yes,Digital Divide & Accessibility
2024-04-01 01:37:00,lhaas@gmail.com,Public_Health,2,Prefer Not To Say,Financial aid,Appointment Scheduling & Reminders,No,Digital Divide & Accessibility
2024-04-01 01:38:00,caleb45@gmail.com,General_Practitioner,4,Yes,Lack of support,Pharmacy Integration,Yes,False Alarms & Alert Fatigue
2024-04-01 01:39:00,andrewcooper@fitzgerald.com,ENDOCRINE,2,Yes,N/A,Appointment Scheduling & Reminders,Yes,N/A
